Wavenumbers (cm^-1),Abs
600.140627,0.0058422498946141994
600.853383,0.005060184731829951
601.566139,0.004914026185285441
602.278895,0.00517476050254834
602.991651,0.005561279492257321
603.704407,0.005465780745820401
604.417163,0.004567918462909869
605.129919,0.0045270073896739186
605.842675,0.005545755997927032
606.555432,0.006181234199534957
607.268188,0.006661939968137682
607.980944,0.007084917987957632
608.6937,0.007189900100112276
609.406456,0.0075708725534239935
610.119212,0.00811477134345966
610.831968,0.008961677597075411
611.544724,0.010532192412980675
612.25748,0.012044569790629464
612.970236,0.01322223937997252
613.682992,0.014247945091004056
614.395749,0.015150307806106765
615.108505,0.016370068966127558
615.821261,0.017327582785095778
616.534017,0.017473368343207635
617.246773,0.017228761229208377
617.959529,0.016295871551288782
618.672285,0.015221858405413187
619.385041,0.014776456660319464
620.097797,0.013898312219137334
620.810553,0.012334999533779914
621.523309,0.010694079566161228
622.236066,0.008962045577117966
622.948822,0.00793631819499598
623.661578,0.00801968718571564
624.374334,0.008209044269220544
625.08709,0.007418463787814494
625.799846,0.005062118026880742
626.512602,0.0026956062557947514
627.225358,0.002372151219625535
627.938114,0.003258785955988351
628.65087,0.004185584049876355
629.363626,0.005466691122014613
630.076383,0.006480168145845098
630.789139,0.006318288352520031
631.501895,0.005333435871396185
632.214651,0.004218621919123257
632.927407,0.0037479752031291187
633.640163,0.004230528271188964
634.352919,0.00442489573635682
635.065675,0.003679547067823598
635.778431,0.003703698489230587
636.491187,0.004960631669437769
637.203943,0.005734340899988985
637.916699,0.00598797706661109
638.629456,0.006169860124306029
639.342212,0.005512740175553029
640.054968,0.0045884983388492905
640.767724,0.004412225052339474
641.48048,0.0047215427417378305
642.193236,0.0052858276127675085
642.905992,0.0057622464353058464
643.618748,0.0061799126418045315
644.331504,0.006849898460795837
645.04426,0.007117475224318664
645.757016,0.0070923342013759025
646.469773,0.007255288891645571
647.182529,0.0071866591775752685
647.895285,0.007303519875662701
648.608041,0.007584373777619334
649.320797,0.007226576312258211
650.033553,0.0065926940371578945
650.746309,0.005604540579014984
651.459065,0.0045972107362530325
652.171821,0.004595512134227014
652.884577,0.004461712137743666
653.597333,0.004066192445475643
654.31009,0.004512358985080353
655.022846,0.0043001310481705895
655.735602,0.0033801704674133216
656.448358,0.003553319273923953
657.161114,0.0037577746862756285
657.87387,0.003088400738706112
658.586626,0.002636528080957756
659.299382,0.0029145408549216315
660.012138,0.0038880144734041544
660.724894,0.004762116488195486
661.43765,0.004470509749637611
662.150407,0.0033144566100197304
662.863163,0.0024649148640363554
663.575919,0.002826166061897203
664.288675,0.004197239544266787
665.001431,0.005754698869498593
665.714187,0.006846465948587992
666.426943,0.006966306685623765
667.139699,0.0069115338786289605
667.852455,0.00798058178768664
668.565211,0.008093877678874489
669.277967,0.007539324193162664
669.990723,0.007440517839027592
670.70348,0.006798863595591564
671.416236,0.0062194201443839005
672.128992,0.006701262001917995
672.841748,0.007288499287013063
673.554504,0.007234635249724759
674.26726,0.006840536325602239
674.980016,0.006589947005411199
675.692772,0.006204767410914517
676.405528,0.004952329289652102
677.118284,0.004089457882992332
677.83104,0.0045729349646636
678.543797,0.004963979023008584
679.256553,0.005301425348175508
679.969309,0.00637599647649963
680.682065,0.007231601539000903
681.394821,0.007452751428473467
682.107577,0.006734677062028941
682.820333,0.005268115981978889
683.533089,0.005147059688722353
684.245845,0.00630714863702073
684.958601,0.006638095332062595
685.671357,0.00594025738086684
686.384114,0.00457588432607664
687.09687,0.003313883326078019
687.809626,0.0034790860525086304
